GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH
4.210526500000000283e+00,2.368421099999999946e+00,2.368421099999999946e+00,1.000000000000000000e+00,3.368108108108108234e-01,5.633328974358974006e-02,9.995549280385245261e-01,8.130288310908100058e-02,-3.081832043634990387e-02,1.000000000000000000e+00,0.000000000000000000e+00
6.842105400000000337e+00,3.684210499999999833e+00,3.684210499999999833e+00,1.000000000000000000e+00,4.753599999999999492e-01,3.896299259259262959e-02,9.992158798512911222e-01,1.142646329483180678e-01,-5.365201880128126627e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.157894799999999780e+00,1.842105300000000057e+00,1.842105300000000057e+00,2.000000000000000000e+00,3.150750024999999788e-01,6.942858809523808072e-02,9.996871182672633083e-01,6.766146505309846015e-02,-2.082272317783052593e-02,1.000000000000000000e+00,0.000000000000000000e+00
2.105263200000000001e+00,1.315789499999999945e+00,1.315789499999999945e+00,2.000000000000000000e+00,2.396538442307692418e-01,3.890742407407405540e-02,9.453080148922583525e-01,4.838476687329132386e-02,-1.604323673177319651e-02,3.000000000000000000e+00,5.254969076099122560e+00
8.947368600000000782e+00,4.736842199999999892e+00,4.736842199999999892e+00,1.000000000000000000e+00,7.307500062500000837e-01,3.149999999999986144e-02,9.990000255235373938e-01,1.356700040200451152e-01,-7.076156431786168044e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.684210499999999833e+00,2.105263200000000001e+00,2.105263200000000001e+00,2.000000000000000000e+00,3.222105289473684575e-01,6.560000000000001941e-02,9.996237699889783945e-01,7.443674155292072381e-02,-2.547688629036803931e-02,1.000000000000000000e+00,0.000000000000000000e+00
4.736842199999999892e+00,2.631578900000000054e+00,2.631578900000000054e+00,1.000000000000000000e+00,3.565714285714285947e-01,5.121628378378367125e-02,9.994992035331843327e-01,8.814186369608628668e-02,-3.576498729484935829e-02,1.000000000000000000e+00,0.000000000000000000e+00
6.315789699999999840e+00,3.421052700000000169e+00,3.421052700000000169e+00,1.000000000000000000e+00,4.394642821428571544e-01,4.040000999999984049e-02,9.992608372998431632e-01,1.080035058768315792e-01,-4.935437540993609790e-02,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.631579000000000002e-01,2.631579000000000002e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.263158100000000506e-01,5.263158100000000506e-01,5.263158100000000506e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.421052899999999397e+00,4.473684300000000391e+00,4.473684300000000391e+00,1.000000000000000000e+00,6.316111055555555520e-01,3.344990499999996036e-02,9.989717987791209008e-01,1.313513683760147432e-01,-6.633826828158818911e-02,1.000000000000000000e+00,0.000000000000000000e+00
7.368421099999999946e+00,3.947368400000000221e+00,3.947368400000000221e+00,1.000000000000000000e+00,5.171304347826086723e-01,3.592003599999984281e-02,9.991252407454460638e-01,1.202614422060472449e-01,-5.788971083306376775e-02,1.000000000000000000e+00,0.000000000000000000e+00
7.894736800000000443e+00,4.210526500000000283e+00,4.210526500000000283e+00,1.000000000000000000e+00,5.672857095238095226e-01,3.504350434782602802e-02,9.991222602300374733e-01,1.259425634350636869e-01,-6.209457275524054437e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.789473499999999717e+00,3.157894799999999780e+00,3.157894799999999780e+00,1.000000000000000000e+00,4.080333333333333035e-01,4.340626874999994889e-02,9.993581943135276813e-01,9.983600158273753244e-02,-4.496844804469021101e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.263157800000000108e+00,2.894736799999999999e+00,2.894736799999999999e+00,1.000000000000000000e+00,3.804374999999999840e-01,4.788236470588239091e-02,9.994193782476874510e-01,9.491467885156955331e-02,-4.045605905903263549e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.578947399999999890e+00,1.052631600000000001e+00,1.052631600000000001e+00,2.000000000000000000e+00,1.915538446153846330e-01,1.134302985074682642e-03,3.915767879237820326e-01,1.288763875353486285e-02,-7.285300350860856623e-03,2.000000000000000000e+00,1.544297756984252201e+00
2.631578900000000054e+00,1.578947399999999890e+00,1.578947399999999890e+00,2.000000000000000000e+00,3.225263157894737165e-01,8.885002749999988680e-02,9.997380892824760945e-01,6.125831082155112212e-02,-1.946383570248686953e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.052631600000000001e+00,7.894736500000000268e-01,7.894736500000000268e-01,1.000000000000000000e+00,2.019285642857142626e-01,-4.700000000000000185e-03,9.795763851498019703e-02,2.893061637034186843e-03,-1.444536765551803327e-03,1.000000000000000000e+00,1.520706000610938968e+00
9.473684300000000391e+00,5.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
