GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH
8.974358999999999531e-01,8.974358999999999531e-01,8.974358999999999531e-01,2.000000000000000000e+00,5.081428571428572294e-01,-1.706248124999987237e-02,3.770294013214436912e-01,9.039118075116436141e-03,-3.583354880309579105e-03,2.000000000000000000e+00,4.248681235474230933e-01
4.743589899999999915e+00,4.743589899999999915e+00,4.743589899999999915e+00,1.000000000000000000e+00,8.902500083333332315e-01,4.928573571428583600e-02,9.993364598313954072e-01,1.366073269278527957e-01,-5.695456299826325702e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.923076900000000089e+00,1.923076900000000089e+00,1.923076900000000089e+00,2.000000000000000000e+00,4.840384615384615841e-01,2.637856428571431211e-01,9.998072807267220918e-01,6.657754367012584662e-02,-1.776169337484332506e-02,2.000000000000000000e+00,4.342516493635553698e-01
4.487179300000000204e+00,4.487179300000000204e+00,4.487179300000000204e+00,1.000000000000000000e+00,8.166428500000000312e-01,5.306245624999997301e-02,9.993644077603467402e-01,1.319545920325601307e-01,-5.277457117418571375e-02,1.000000000000000000e+00,0.000000000000000000e+00
2.948717799999999833e+00,2.948717799999999833e+00,2.948717799999999833e+00,3.000000000000000000e+00,4.247407444444444291e-01,1.196551724137930317e-01,9.981707228243512642e-01,9.520142814906318307e-02,-3.329634836678731918e-02,1.000000000000000000e+00,1.386317275736709265e+00
7.692307800000000029e-01,7.692307800000000029e-01,7.692307800000000029e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.102564300000000053e+00,4.102564300000000053e+00,4.102564300000000053e+00,1.000000000000000000e+00,7.414999937499999749e-01,2.644451111111099928e-02,9.982782324730390400e-01,1.235478801034846363e-01,-4.493535647045628079e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.025641100000000083e+00,1.025641100000000083e+00,1.025641100000000083e+00,2.000000000000000000e+00,9.818333333333333357e-01,-5.945714428571425847e-01,9.889978653993526381e-01,3.864303680978805472e-02,-8.875359849595556433e-03,2.000000000000000000e+00,5.870974284791509179e-01
2.179487200000000069e+00,2.179487200000000069e+00,2.179487200000000069e+00,2.000000000000000000e+00,3.201249999999999929e-01,2.364284714285715128e-01,9.969534656106424642e-01,7.397445916172540326e-02,-2.190223138457248614e-02,3.000000000000000000e+00,5.027984180077836873e-01
2.564102600000000010e+00,2.564102600000000010e+00,2.564102600000000010e+00,3.000000000000000000e+00,4.004827620689655476e-01,1.380322129032255096e-01,9.984094409592153552e-01,8.512307046751993456e-02,-2.514642890983853629e-02,1.000000000000000000e+00,6.886313527548343361e-01
2.307692299999999808e+00,2.307692299999999808e+00,2.307692299999999808e+00,3.000000000000000000e+00,4.231481481481481621e-01,1.742413310344826938e-01,9.984647952253868919e-01,7.790717634495078481e-02,-1.991207980796873972e-02,1.000000000000000000e+00,5.141361165187480209e-01
4.615384599999999615e+00,4.615384599999999615e+00,4.615384599999999615e+00,1.000000000000000000e+00,8.498461461538462380e-01,5.146665999999996965e-02,9.994818976756754125e-01,1.340727334751467825e-01,-5.486678433935029270e-02,1.000000000000000000e+00,0.000000000000000000e+00
2.051282200000000167e+00,2.051282200000000167e+00,2.051282200000000167e+00,2.000000000000000000e+00,4.788076961538461074e-01,2.435713999999999935e-01,9.997745829912615401e-01,7.035295235626816412e-02,-1.979325019508396816e-02,2.000000000000000000e+00,4.505831915181970349e-01
1.410256399999999966e+00,1.410256399999999966e+00,1.410256399999999966e+00,2.000000000000000000e+00,6.056500049999999913e-01,-1.250004090909083779e-02,9.896028447305842413e-01,5.097237522024872930e-02,-1.219929045757889297e-02,2.000000000000000000e+00,4.744200161758951872e-01
5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,4.946249999999999258e-01,1.046923384615381925e-01,9.986885417988247138e-01,3.723094811766373448e-03,-1.629678723794950393e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.461538599999999910e+00,3.461538599999999910e+00,3.461538599999999910e+00,3.000000000000000000e+00,6.685000000000000941e-01,7.220003500000005126e-02,9.994161857403935922e-01,1.088556552059987553e-01,-3.532160420025290404e-02,1.000000000000000000e+00,0.000000000000000000e+00
