GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH,EVENT_AREA
0.000000000000000000e+00,1.282051399999999952e-01,1.282051399999999952e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.974358600000000408e+00,4.615384599999999615e+00,4.615384599999999615e+00,1.000000000000000000e+00,6.726111111111111596e-01,3.215790000000016274e-02,7.943318231578948030e+01,1.335721176444291391e-01,-6.954987620374258883e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.956990874859648039e-02
6.153846299999999658e+00,3.205128199999999872e+00,3.205128199999999872e+00,1.000000000000000000e+00,4.038064516129032389e-01,4.262498437499970261e-02,7.792855556249999438e+01,1.026302602840562100e-01,-4.708069568620324580e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.493333645175600452e-02
3.076923100000000133e+00,1.666666600000000109e+00,1.666666600000000109e+00,3.000000000000000000e+00,2.907674418604651034e-01,7.945455454545446994e-02,7.090358486590908171e+01,6.314054233508768765e-02,-2.125452050316599742e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.178071377738968445e-02
5.897435699999999947e+00,3.076923100000000133e+00,3.076923100000000133e+00,1.000000000000000000e+00,3.891249999999999987e-01,4.406052727272719016e-02,7.763536030303031055e+01,9.945854576087129195e-02,-4.497678803507820094e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.566087589759243753e-02
4.102564300000000053e+00,2.179487200000000069e+00,2.179487200000000069e+00,3.000000000000000000e+00,3.107317073170731692e-01,6.007139047619054067e-02,7.507875816666667390e+01,7.632004859936111774e-02,-2.913567246876990272e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.321630545990313793e-02
7.692307500000000076e+00,3.974359000000000197e+00,3.974359000000000197e+00,1.000000000000000000e+00,5.145416666666666750e-01,3.608001199999998770e-02,7.905549807999999246e+01,1.207451724658128722e-01,-5.936745590821597418e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.159952509385619848e-02
1.282051300000000005e+00,7.692307800000000029e-01,7.692307800000000029e-01,2.000000000000000000e+00,3.287500000000000089e+00,2.741333166666665822e+00,6.099250603333333487e+01,3.074665307898481401e-02,-1.142047614608489824e-02,1.200000000000000000e+01,3.840744123110301445e+00,1.784082518966734199e+00
2.820512799999999931e+00,1.538461599999999985e+00,1.538461599999999985e+00,3.000000000000000000e+00,2.895454545454544948e-01,8.535556444444447610e-02,6.823237540444445415e+01,5.992461979527357457e-02,-2.060830675821447716e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.462824464915284700e-02
1.025641100000000083e+00,6.410256600000000526e-01,6.410256600000000526e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
