GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH,EVENT_AREA
7.692307800000000029e-01,7.692307800000000029e-01,7.692307800000000029e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.897435699999999947e+00,5.897435699999999947e+00,5.897435699999999947e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.102564300000000053e+00,4.102564300000000053e+00,4.102564300000000053e+00,3.000000000000000000e+00,7.415000000000000480e-01,5.923534117647059893e-02,8.472422147058824748e+01,1.236238326353567146e-01,-4.649739268561237787e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.703190875004428589e-02
6.153846299999999658e+00,6.153846299999999658e+00,6.153846299999999658e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.384615400000000385e+00,5.384615400000000385e+00,5.384615400000000385e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.025641100000000083e+00,1.025641100000000083e+00,1.025641100000000083e+00,2.000000000000000000e+00,1.963600000000000012e+00,1.251166549999999988e+00,7.926785433333333231e+01,3.863451467291112440e-02,-8.875372350936272525e-03,1.000000000000000000e+00,0.000000000000000000e+00,7.922042835425706642e-01
5.128205300000000300e+00,5.128205300000000300e+00,5.128205300000000300e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.564102600000000010e+00,2.564102600000000010e+00,2.564102600000000010e+00,2.000000000000000000e+00,8.242857142857141772e-01,1.521999533333329990e-01,8.363421919999998977e+01,8.513098242024885742e-02,-2.548592028966039161e-02,1.000000000000000000e+00,0.000000000000000000e+00,9.315729882393018746e-02
2.307692299999999808e+00,2.307692299999999808e+00,2.307692299999999808e+00,2.000000000000000000e+00,8.734615384615384004e-01,1.929999999999999771e-01,8.337137621428568934e+01,7.789921838413542410e-02,-2.051328294871793481e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.162780758612646098e-01
4.615384599999999615e+00,4.615384599999999615e+00,4.615384599999999615e+00,3.000000000000000000e+00,8.498571428571427555e-01,5.226666666666656552e-02,8.480209580000000358e+01,1.340727334751467825e-01,-5.486678433935029270e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.321978450499677576e-02
2.051282200000000167e+00,2.051282200000000167e+00,2.051282200000000167e+00,2.000000000000000000e+00,9.576153846153847571e-01,2.454285428571428285e-01,8.285052749999999833e+01,7.035295235626817800e-02,-1.979325019508397163e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.514278250924367686e-01
7.435897399999999990e+00,7.435897399999999990e+00,7.435897399999999990e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.461538300000000845e+00,8.461538300000000845e+00,8.461538300000000845e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.128204800000000230e-01,5.128204800000000230e-01,5.128204800000000230e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.589743599999999812e+00,3.589743599999999812e+00,3.589743599999999812e+00,3.000000000000000000e+00,6.777777777777779233e-01,6.989474210526304410e-02,8.445573800000001086e+01,1.120248539062016074e-01,-3.769174579972454225e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.268180035841565717e-02
4.358974500000000418e+00,4.358974500000000418e+00,4.358974500000000418e+00,3.000000000000000000e+00,7.882666666666667821e-01,5.543758749999977420e-02,8.479448512499999424e+01,1.289677163271282789e-01,-5.068427496106805291e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.497443495219580700e-02
6.666666499999999829e+00,6.666666499999999829e+00,6.666666499999999829e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.564102699999999957e-01,2.564102699999999957e-01,2.564102699999999957e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.282051300000000005e+00,1.282051300000000005e+00,1.282051300000000005e+00,2.000000000000000000e+00,1.325250000000000039e+00,6.076665888888889144e-01,8.078789411111111463e+01,4.690488808144788191e-02,-1.095039957655433854e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.844479786425906709e-01
7.179487199999999625e+00,7.179487199999999625e+00,7.179487199999999625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.487179799999999830e+00,9.487179799999999830e+00,9.487179799999999830e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.820512799999999931e+00,2.820512799999999931e+00,2.820512799999999931e+00,2.000000000000000000e+00,8.475714285714285312e-01,1.380666733333332785e-01,8.391685246666666842e+01,9.185509185665854948e-02,-3.067608760794201389e-02,1.000000000000000000e+00,0.000000000000000000e+00,8.527728249412619421e-02
9.743589399999999401e+00,9.743589399999999401e+00,9.743589399999999401e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.974358600000000408e+00,8.974358600000000408e+00,8.974358600000000408e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.333333300000000055e+00,3.333333300000000055e+00,3.333333300000000055e+00,3.000000000000000000e+00,6.634210526315790224e-01,7.854997500000045207e-02,8.423011449999998490e+01,1.057349114435758020e-01,-3.280777536763093694e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.719632547223494984e-02
