GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH,EVENT_AREA
3.974359000000000197e+00,3.974359000000000197e+00,7.692307500000000076e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.230769200000000119e+00,4.230769200000000119e+00,8.205128699999999498e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.871794699999999700e+00,4.871794699999999700e+00,9.487179799999999830e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.282051300000000005e+00,1.282051300000000005e+00,2.307692299999999808e+00,2.000000000000000000e+00,8.494999999999999218e-01,2.424667000000002293e-01,7.933910486666668760e+01,4.636976471158023999e-02,-1.186806934747711671e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.439937410308158305e-01
2.051282200000000167e+00,2.051282200000000167e+00,3.846153699999999898e+00,3.000000000000000000e+00,6.438421052631578823e-01,9.084995000000002652e-02,8.014007995000000051e+01,6.878735097101039420e-02,-2.242072998285620650e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.263350796043021751e-02
3.461538599999999910e+00,3.461538599999999910e+00,6.666666499999999829e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.358974500000000418e+00,4.358974500000000418e+00,8.461538300000000845e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.692307700000000192e+00,2.692307700000000192e+00,5.128205300000000300e+00,3.000000000000000000e+00,7.436470588235293278e-01,6.344452777777795371e-02,8.068166611111111308e+01,8.444575277108609668e-02,-3.609486826615782712e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.870575166954659529e-02
3.846153699999999898e+00,3.846153699999999898e+00,7.435897399999999990e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.948717799999999833e+00,2.948717799999999833e+00,5.641025499999999582e+00,3.000000000000000000e+00,8.169333333333334002e-01,5.724997499999992523e-02,8.069783850000000314e+01,8.958020146037679043e-02,-4.138622301306745660e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.534699965113992370e-02
1.153846099999999986e+00,1.153846099999999986e+00,2.051282200000000167e+00,2.000000000000000000e+00,9.321666666666668100e-01,3.061538769230768287e-01,7.902292300000000580e+01,4.232155305237872422e-02,-1.067276231876340860e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.843688203319434615e-01
5.000000000000000000e+00,5.000000000000000000e+00,9.743589399999999401e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.128204800000000230e-01,5.128204800000000230e-01,7.692307800000000029e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.102564300000000053e+00,4.102564300000000053e+00,7.948718099999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.743589899999999915e+00,4.743589899999999915e+00,9.230769199999999230e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.794871799999999906e+00,1.794871799999999906e+00,3.333333300000000055e+00,3.000000000000000000e+00,6.557894736842106997e-01,1.199000049999999346e-01,7.995764094999999827e+01,6.185384147461984311e-02,-1.610891724531828342e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.660252748255471311e-02
